"id","scope","run_first","alternative_explanation","claim_under_attack","ledger_ref","registered","what_would_refute_it","different_route","needs","status","paper_sentence_that_depends","OPERATOR_ONLY_note","observed","signed_by","signed_date"
"R0","admin","","-","0032's condition: refutation recorded by the numbers-freeze gate (EOD 2026-09-08), else E9's figures are withheld","0032:1947-1951; 0032:1927-1928; 0035:2159-2160","PRE","n/a - not an attack. A refutation signed now cannot satisfy a 2026-09-08 freeze as written; a numbered operator entry must supersede that clause whichever path is taken","-","operator entry","open","every sentence that uses 0029, 0038 or 0034's E9 figures","The staged Path B script docs/drafts/append_0039.py claims number 0039; origin/llama-second-family took 0039 on 2026-09-18. Renumber and re-stage before any append.","","",""
"R1","0032-A","yes","H1 the statistic or its code is wrong","median same-model f*(tau_K) = 0.0000 over 25 handoffs, read as an oracle floor","0029:1779; definition 0023:1274-1277","PRE","f*(tau_K) and the tau ladder, recomputed per handoff from the raw per-token deviation arrays by a short numpy script that imports nothing from linear_ceiling, disagree with results/e9/summary.json","yes","CPU; results/e9/tokens/ (the public backup mirrors results/e9/ at its root, per the repo brief)","open","the headline zero; the ladder pair","The 09-08 review re-ran the SAME scorer on the same dumps - a reproduction, not a second route.","","",""
"R2","0032-A","","H2 tau_K is loose","tau_K = 0.3186 = 1 - the k=1 mapper's held-out K R^2, from one 40-fit / 10-held-out split of 50 generic sequences","0023:1282-1286","PRE","under other seeded 40/10 splits the p10 of tau_K is low enough that median f* leaves HOLDS (> 0.15)","yes","CPU; refit the k=1 ridge map per split from the archived generic dumps","open","""at the mapper's own tolerance""","Heavier than it looks: each split is a refit, not a re-score.","","",""
"R3","0032-A","","H2 tau_K is loose","ladder: tau=0.1 -> 0.0000, tau=0.03 -> 0.1433 (same K)","0029:1782","PRE","the tau at which median f* crosses 0.15 lies inside R2's resampling band for tau_K","no","CPU; results/e9/tokens/","open","the ladder sentence","","","",""
"R4","0032-A","","H1 the statistic is insensitive by construction","f* is MEAN repair, not tokenwise exceedance","0023:1274-1277; 0038 restates it","POST","the band word changes when f* is redefined as the fraction of matched tokens with deviation above tau_K","yes","CPU; results/e9/tokens/","open","any sentence that reads the zero as 'nothing to recompute'","0038 already states the median tokenwise exceedance under both receivers; the corrective reading is POST-hoc and must be labelled so.","","",""
"R5","0032-A","","H4 the sample is unrepresentative","the ladder's p90 at tau=0.03 (0.5823)","0029:1782","PRE","the handoffs carrying the p90 are absent from the 09-08 review's two, or those two were not drawn from the registered keep seed","no","CPU; summary.json + the 09-08 record","open","-","","","",""
"R6","0032-A","","H1 noise / degenerate uncertainty","bootstrap of the median [0.0000, 0.0000]","0029:1779","PRE","the interval carries information (it cannot: every per-handoff input is 0). Report instead the per-handoff tokenwise exceedance rate and its spread","no","CPU; summary.json","settled in part","""on every handoff""","Read 2026-09-20: max per-handoff same-K f*(tau_K) is 0.0 over 25 / 35 / 25 handoffs (e9 / e9l / e9s). 'On every handoff' is supported; no ledger entry states that maximum. See docs/2026-09-20-astra_review.md sec. 5.","","",""
"R7","beyond-0032","","H5 the statistic has no range","HOLDS <= 0.15 means something","0023 band; 0027 floor reading","PRE","f*(tau_K) does not order three caches: the null pairing, the real pairing with position correction disabled, the real pairing","yes","CPU on the 8 kept dumps (raw K is stored; the strip is applied at load)","open","the HOLDS reading","","","",""
"R8","beyond-0032","","H3 the alignment selects easy tokens","matched fraction |M|/|R| is a floor","0019; 0029 coverage","PRE","on two handoffs drawn by make_rng (seed printed), the matched blocks are dominated by boilerplate or whitespace, or the unmatched tokens are where the deviation would be","yes","CPU; kept dumps + alignments","open","""shared content""","Look-at-the-data row; qualitative by design.","","",""
"R9","0032-B","yes","H6 the control cannot fail","prefix invariance: max centered per-token deviation 0.000e+00 (tolerance 1e-04)","0029:1768-1769; registered 0025:1483-1492","PRE","the control still reads ~0 when it should not: (a) the S dump stripped with the wrong RoPE spec at load; (b) a prefix shifted by one token","yes","(a) CPU on kept dumps; (b) GPU - needs a new prefill","open","the Controls paragraph","An exact zero is what causal attention predicts on one kernel (0025:1488). The live question is whether the check CAN fail, not why it is zero.","","",""
"R10","0032-B","","H6","the control compares two different forward passes","0025:1483-1492","PRE","the code scores one dump against itself","no","read summarize_e9.py / e9.py","answered by the record; confirm in code","-","0025 registers it as a SEPARATE prefill: S followed by R's first token, rows 0..|S|-1 scored against the S dump at (p, p).","","",""
"R11","0032-B","","H6","the control ran on the first included handoff only","0025:1486; 0029:1768-1769","PRE","on other handoffs, batch shapes or kernels the prefix deviation exceeds 1e-04","yes","GPU - each check is a new S+1 prefill","open","-","One handoff, by registration. A GPU row: not before any deadline.","","",""
"R12","0032-B","","H6","prefix invariance and pipeline identity are distinct checks","0025:1483-1485","PRE","both reduce to one code path","no","read the code","answered by the record; confirm in code","-","0025 says the identity control loads one dump twice and 'cannot fail on the box'; prefix invariance was added for exactly that reason.","","",""
"R13","beyond-0032","","H4 the sample is unrepresentative","25 included of 68 observed (the shorter half by |S|)","0035:2089-2090; 0029 coverage","PRE","the 25 differ from the excluded handoffs on something the claim depends on (|S|, seam count, agent family) beyond length","no","CPU; results/e9/align/coverage.json","open","scope sentence","","","",""
"R14","beyond-0032","","H5 the instrument has no range on the cross arm","cross arm beyond DEGRADES (descriptive)","0029; 0027","PRE","replacing the k=1 mapper with identity leaves the cross arm's f*(tau_K) where it is","yes","CPU on the 8 kept dumps; confirm the two models' KV shapes match","open","the cross-arm sentence","","","",""
